chain,address,name,category,secondary_category,source,source_url,tier
ethereum,0x56de1527136f76a809e5b14ded6103eecd072ba7,Keyvan Fayyaz Gareh Blagh,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x8694ed130432be2cd3efff2e4d9dc52351dc7423,Keyvan Fayyaz Gareh Blagh,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0xbd3276f265b83b5e828c05f46cde9d10a1521a24,Keyvan Fayyaz Gareh Blagh,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0xf1c4c44d2dcbcfa704349e3b57628dbd8404e597,Keyvan Fayyaz Gareh Blagh,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x1999ef52700c34de7ec2b68a28aafb37db0c5ade,Khadzhi Murat Dalgatovich Magomedov,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x08723392ed15743cc38513c4925f5e6be5c17243,Lazarus Group,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x098b716b8aaf21512996dc57eb0615e2383e2f96,Lazarus Group,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x35fb6f6db4fb05e6a4ce86f2c93691425626d4b1,Lazarus Group,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x3cffd56b47b7b41c56258d9c7731abadc360e073,Lazarus Group,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x3e37627deaa754090fbfbb8bd226c1ce66d255e9,Lazarus Group,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x53b6936513e738f44fb50d2b9476730c0ab3bfc1,Lazarus Group,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0xa0e1c89ef1a489c9c7de96311ed5ce5d32c20e4b,Lazarus Group,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0xf7b31119c2682c88d88d455dbb9d5932c65cf1be,Lazarus Group,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x7d84d78bb9b6044a45fa08b7fe109f2c8648ab4e,Lazarus Group (Stake.com),sanctions,,FBI,https://www.fbi.gov/news/press-releases/fbi-identifies-lazarus-group-cyber-actors-as-responsible-for-theft-of-41-million-from-stakecom,official
ethereum,0x94f1b9b64e2932f6a2db338f616844400cd58e8a,Lazarus Group (Stake.com),sanctions,,FBI,https://www.fbi.gov/news/press-releases/fbi-identifies-lazarus-group-cyber-actors-as-responsible-for-theft-of-41-million-from-stakecom,official
ethereum,0xba36735021a9ccd7582ebc7f70164794154ff30e,Lazarus Group (Stake.com),sanctions,,FBI,https://www.fbi.gov/news/press-releases/fbi-identifies-lazarus-group-cyber-actors-as-responsible-for-theft-of-41-million-from-stakecom,official
ethereum,0xbda83686c90314cfbaaeb18db46723d83fdf0c83,Lazarus Group (Stake.com),sanctions,,FBI,https://www.fbi.gov/news/press-releases/fbi-identifies-lazarus-group-cyber-actors-as-responsible-for-theft-of-41-million-from-stakecom,official
ethereum,0x9c2bc757b66f24d60f016b6237f8cdd414a879fa,Mario Alberto Jimenez Castro,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x1967d8af5bd86a497fb3dd7899a020e47560daaf,Matthew Simon Grimm,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0xd0975b32cea532eadddfc9c60481976e39db3472,Matthew Simon Grimm,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0xfac583c0cf07ea434052c49115a4682172ab6b4f,Mingming Wang,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x1b8579cf6ab12ea6b74ac5fa41f3829a3cb61e6e,Mojtaba Ghal'Eh-Kuhi,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x53b9b72dc6f96eb4b54143b211b22e2548e4cf5c,NOBITEX (Israel NBCTF),sanctions,,OpenSanctions / NBCTF,https://www.opensanctions.org/datasets/il_mod_crypto/ ; https://nbctf.mod.gov.il/en/aboutus/Pages/mandate.aspx,official
ethereum,0xe3740c1b2fcda407027e2c80906306604e5260e7,NOBITEX (Israel NBCTF),sanctions,,OpenSanctions / NBCTF,https://www.opensanctions.org/datasets/il_mod_crypto/ ; https://nbctf.mod.gov.il/en/aboutus/Pages/mandate.aspx,official
ethereum,0x19f8f2b0915daa12a3f5c9cf01df9e24d53794f7,Oko Design Bureau,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x12de548f79a50d2bd05481c8515c1ef5183666a9,Old Vector Llc,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0xac4cc4b68ea24bbfaac8fd127b67ed445accce22,Rodrigo Alarcon Palomares,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x5d5b5dafecbf31bdb08bfd3edad4f2694372d0ef,Rolan Sokolovski,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0xc103b7dc095c904b92081eef0c1640081ec01c10,Rolan Sokolovski,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0xe1e4c5e5ed8f03ae61b581e2def126025f2b9401,Rolan Sokolovski,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x43fa21d92141ba9db43052492e0deee5aa5f0a93,Roman Semenov,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x5a7a51bfb49f190e5a6060a5bc6052ac14a3b59f,Roman Semenov,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x5f48c2a71b2cc96e3f0ccae4e39318ff0dc375b2,Roman Semenov,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x6be0ae71e6c41f2f9d0d1a3b8d0f75e6f6a0b46e,Roman Semenov,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
